Title,Year,Genre,Difficulty
Mohabbatein,2000,"Drama, Social",Easy
Kaho Naa... Pyaar Hai,2000,Action,Easy
Mission Kashmir,2000,"Action, Drama",Easy
Dulhan Hum Le Jayenge,2000,Drama,Easy
Refugee,2000,Comedy,Easy
Josh,2000,Action,Easy
Har Dil Jo Pyar Karega,2000,Action,Easy
Fiza,2000,Drama,Easy
Hamara Dil Aapke Paas Hai,2000,Thriller,Easy
Mela,2000,Drama,Easy
Aaghaaz,2000,Thriller,Medium
Aaj Ka Ravan,2000,Drama,Medium
Astitva,2000,"Drama, Social",Medium
Baaghi,2000,Action,Medium
Badal,2000,"Action, Drama",Medium
Bawandar,2000,Drama,Medium
Beti No.1,2000,Comedy,Medium
Bichhoo,2000,Action,Medium
Billa No. 786,2000,Action,Medium
Bulandi,2000,Drama,Medium
Chal Mere Bhai,2000,Comedy,Medium
Champion,2000,"Action, Drama",Medium
Deewane,2000,"Action, Romance",Medium
Dhai Akshar Prem Ke,2000,"Romance, Drama",Medium
Dhadkan,2000,"Romance, Drama",Medium
Dil Pe Mat Le Yaar,2000,Drama,Medium
Dr. Babasaheb Ambedkar,2000,Drama,Medium
Gaja Gamini,2000,Drama,Medium
Gang,2000,Crime,Medium
Ghaath,2000,Drama,Medium
Hadh Kar Di Aapne,2000,"Comedy, Romance",Medium
Hari-Bhari,2000,Drama,Medium
Hera Pheri,2000,Comedy,Medium
Hey Ram,2000,Drama,Medium
Hum To Mohabbat Karega,2000,"Action, Romance",Medium
Anjaane,2000,Romance,Hard
Anokha Moti,2000,Family,Hard
Apradhi Kaun,2000,Thriller,Hard
Bas Yaari Rakho,2000,"Comedy, Drama",Hard
Bhai Thakur,2000,Action,Hard
Kabhi Khushi Kabhie Gham...,2001,Crime,Easy
Gadar: Ek Prem Katha,2001,Drama,Easy
Lagaan,2001,"Comedy, Romance",Easy
Indian,2001,Drama,Easy
Dil Chahta Hai,2001,Comedy,Easy
Chori Chori Chupke Chupke,2001,Drama,Easy
Ek Rishtaa: The Bond of Love,2001,"Action, Romance",Easy
Yaadein,2001,Romance,Easy
Lajja,2001,Family,Easy
Jodi No.1,2001,Thriller,Easy
Abhay,2001,"Comedy, Drama",Medium
Aamdani Atthanni Kharcha Rupaiya,2001,Action,Medium
Aashiq,2001,Action Comedy,Medium
Ajnabee,2001,"Thriller, Suspense, Crime",Medium
Aks,2001,"Thriller, Horror",Medium
